PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2024,,,,,2024,,,,,2024,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",-3.54,0.1,0.66,0.67,0.67,0,23.43,0.1,-18.49,0.67,-3.54,3.25,1.69,0.71,0.67
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",-5.5,0.2,0.78,0.82,0.82,5.12,27.19,-0.85,-23.84,0.82,-5.5,5.18,1.86,0.97,0.82
a. Tanaman Pangan,-24.72,-4.96,-2.04,-0.21,-0.21,26.1,69.1,-22.02,-34.28,-0.21,-24.72,12.51,4.5,9.27,-0.21
b. Tanaman Hortikultura,-0.33,0.45,0.2,0.85,0.85,-7.13,21.68,4.52,-12.85,0.85,-0.33,1.1,-0.23,2.93,0.85
c. Tanaman Perkebunan,3.07,2.03,1.41,0.67,0.67,-0.81,17.76,16.67,-28.04,0.67,3.07,1.16,0.45,-1.93,0.67
d. Peternakan,5.22,5.07,4.66,2.78,2.78,6.75,0.89,-3.77,-6.33,2.78,5.22,4.93,3.83,-2.92,2.78
e. Jasa Pertanian dan Perburuan,-4.26,0.47,0.96,0.85,0.85,7.02,14.71,-0.06,-18.11,0.85,-4.26,4.98,1.91,0.48,0.85
2. Kehutanan dan Penebangan Kayu,1.19,-0.85,-1.34,-2.06,-2.06,-6.76,5.64,8.85,-10.68,-2.06,1.19,-2.72,-2.19,-4.24,-2.06
3. Perikanan,3.49,-0.09,0.59,0.68,0.68,-14.3,13.26,2.25,1.72,0.68,3.49,-3.05,1.86,0.95,0.68
B. Pertambangan dan Penggalian,9.31,6.18,5.23,4.9,4.9,-2.56,-2.17,5.62,3.25,4.9,9.31,3.17,3.46,3.95,4.9
"1. Pertambangan Minyak, Gas dan Panas Bumi",-3.52,-1.85,-0.93,-0.78,-0.78,-4.12,3.25,2.59,-1.85,-0.78,-3.52,-0.18,0.87,-0.32,-0.78
2. Pertambangan Batubara dan Lignit,9.72,4.69,4.24,6.82,6.82,0.83,-6.41,9.69,10.34,6.82,9.72,-0.19,3.41,14.21,6.82
3. Pertambangan Bijih Logam,34.36,21.57,14.89,8.3,8.3,-3.88,-2.17,0.54,-2.71,8.3,34.36,10.79,3.46,-8.02,8.3
4. Pertambangan dan Penggalian Lainnya,7.25,6.98,7.01,6.27,6.27,-4.81,-1.78,7.93,3.31,6.27,7.25,6.71,7.06,4.26,6.27
